,title,link,content
55,Animal Crossing New Horizons,/wiki/Animal_Crossing_New_Horizons," As in previous Animal Crossing games, New Horizons is a life simulation game played in real time. Weather also adjusts to the seasons of the Northern or Southern Hemisphere, depending on the player's real-world location, a first for the Animal Crossing series.[1][2] The game follows a villager customized by the player,[3] who, after purchasing a getaway package from Tom Nook, moves into a deserted island.[4] After Tom Nook gives the player essentials, such as a tent, the game proceeds in a non-linear fashion, allowing for the player to play the game as they choose.[5]  The player is given open access to natural resources such as fruit and wood, which can be collected and crafted into a variety of items and furniture known as D.I.Y. crafting. Alongside this, they can catch bugs and fish,[6][7][8] plant and grow trees and flowers,[9] extract natural resources such as rocks,[10] and swim in the ocean.[11] The island gives open space for placing items and decorating as the player chooses.[12] Certain content available, such as organisms, are season-dependant and only appear for a limited time of the year. Doing simple tasks rewards the player with ""Nook Miles"", which in return can purchase premium rewards in Resident Services. The other currency ""Bells"", a staple in the Animal Crossing franchise, can be used to purchase other goods and services. Another feature offered early on is the ""Dodo Airlines"", an airport; through Dodo Airlines, and tickets purchased through Nook Miles, the player can visit other vacant islands to harvest resources, and meet other villagers.[13] The player can invite other villagers they meet to their island if they choose.[14]  The player starts with two other random anthropomorphic villagers that also purchase the getaway package; these villagers will live alongside the player and can be interacted with, building relationships.[15] When the player has made sufficient progress in the game, Tom Nook gives more freedom of expanding as a village. Other shopowners will visit and settle on the island; museum-owner Blathers, who will display fish, bugs, sea creatures, fossils, and art captured by the player; sisters Mabel and Sable, who sell clothing and other player-created accessories;[16][17] and Timmy and Tommy, who run a store that specializes in selling furniture and other quality-of-life items,[18] eventually expanding to sell more items per day.[15] Eventually, the main area will expand to a Town Hall, run by Tom Nook with the help of Isabelle;[5] other buildings and villagers will populate the community, and old tents and shops will grow into a more permanent structure that can still be moved if the player chooses. From there, the island will be given a star rating out of five, usually starting off at a one-star rating. As the island is further developed, the island's star rating will increase. When a three-star rating is achieved, K.K. Slider, a popular musician, will visit and perform a concert at the island, marking the ""end"" of the game as the credits roll.[19] However, more options for island customization are given to the player for further community growth, such as the ability to construct and destroy cliffs, bodies of water and paths, colloquially referred to as terraforming.[20][21]  The game supports one island per Switch system.[22] Animal Crossing: New Horizons supports both local and online co-op gameplay, with up to four players locally and eight players online able to occupy an island at any given time, an option available through the Dodo Airlines.[23] The game supports amiibo cards and figures from the Animal Crossing series, which can be used to invite a villager to the island temporarily that can be convinced to join the island. Nintendo Switch Online cloud saving was added during a late July 2020 update, allowing users to recover game data if their Switch is broken or lost.[24] Additional free content was added every few months, added on every update by downloading the latest update from Nintendo, but major updates ceased with the release of the version 2.0 update on November 3, 2021.[25]  "
56,Anodyne,/wiki/Anodyne_(video_game)," Anodyne is played by exploring a dream world of the game's protagonist, Young. The gameplay involves the use of two primary items, a broom and shoes for jumping. The game takes place in adjacent screen-sized rooms that make up the game's play areas. The player explores dungeons, which are sets of rooms with puzzles and enemies, as well as other areas that focus less on combat and puzzles, such as a red, swamp-like area, and a dimly-lit forest. The player is required to find a certain number of cards in order to progress to the end sections of the game.  "
58,Anonymous;Code,/wiki/Anonymous;Code," In the year 2036, the Sad Morning disaster occurs, where an incident involving computers leads to the destruction of major cities around the world. A similar event is expected to take place in 2038, so a supercomputer called GAIA is used to create an alternate Earth using an Earth Simulator in order to study the possible effects of the impending catastrophe. The experiment was initially inconclusive because of the possibility of low birth rates in the alternate Earth, so a message called the Arecibo Message was used to allow humans to live there. However, humanity in the alternate Earth then creates their own Earth Simulator which leads to questions about the original Earth's existence. The game takes place in 2037. The protagonist, a hacker named Pollon Takaoka, has an ability which allows him to save and load moments, much like save features in video games.[1]  "
60,Another World,/wiki/Another_World_(video_game)," Another World is a platform game, featuring a control scheme where the player uses either the keyboard, joystick or gamepad to make the protagonist run, jump, attack and perform other, situation-specific actions, such as rocking a cage back and forth. In the initial part of the game, the player's character Lester is unarmed. He is able to kick at small creatures, but is otherwise defenseless.  Later in the game, the player acquires a laser pistol from a fallen foe. The pistol has three capabilities: a standard fire mode, the ability to create force fields to block enemy fire, and a powerful charged shot that can break through force fields and some walls.[7] Enemies also have the same capabilities, requiring the player to take advantage of the three gun modes and the environment to overcome them.  Lester and his alien ally cannot sustain any damage, and the game ends immediately if either of them is struck by a projectile or comes in contact with an animal or an environmental hazard.[8] However, the game uses numerous checkpoints enabling the player to keep restarting at the last point indefinitely. On the Amiga and older consoles without the ability to save a game, the player can write down an alphanumeric code for these checkpoints and re-enter it when restarting the game later. In any given scene, the game provides no clues as to what the player should do next, features no HUD except for an oxygen bar during the swimming sequences, and no on-screen text; and the characters the player meets speak in an unintelligible alien language.[9][10]   The protagonist of the game is Lester Knight Chaykin, a young physicist. In the opening cinematic, Lester arrives at his high-tech underground laboratory in his Ferrari 288 GTO[11] during a thunderstorm and goes to work on his experiment using a particle accelerator, attempting to reconstruct what happened when the universe was born. Immediately before the particles reach their intended destination, a lightning bolt strikes the laboratory and interferes with the accelerator, causing an unforeseen particle fusion and an explosion, opening a hole in time and space and teleporting Lester to a barren, alien planet.[9]  After evading a number of dangerous indigenous animals, Lester is captured by a race of humanoid aliens and taken to a subterranean prison camp. Lester escapes along with an alien captive known as ""Buddy"" and the two must evade capture while travelling through a series of dangerous environments, battling alien soldiers and wild creatures while solving numerous puzzles in order to survive. The duo traverse the prison complex, a cave system and a tower structure.[9][10] In the game's climax, Lester is severely wounded by one of the aliens, but with the help of his alien friend, manages to kill his attacker and escape. After reaching the top of the tower, Lester collapses, but is promptly joined by Buddy, who picks Lester up and the two escape on a dragon-like creature, flying off to the horizon.  "
61,AO Tennis 2,/wiki/AO_Tennis_2," AO Tennis 2 game features multiple types of tennis match.[1] The re-designed career mode features a new managing system. Players have to earn money and experience that can be used to boost players' skills and stats. The higher level is, the better form would like to perform.[2] While performance on court is important, how to deal with press conference, how to maintain good relationship with your team would also be critical for players' reputations and decide the quality of sponsors that players can pick up.[3]  In addition to the solo game, the game introduces a multiplayer mode which offers up to four local players competing head-to-head. A cooperation mode is also available so that players can team up in doubles online.[4] Like its predecessor AO Tennis, all custom players and venues sharing with the community are downloadable for the game.[5]  "
63,Ape Out,/wiki/Ape_Out," Ape Out is a single player beat 'em up video game played from a top-down perspective.[1][2] The player controls a gorilla running through a maze while evading enemies in the form of gun-wielding humans. The human enemies are easily killed with a single attack and can also be grabbed and used as a shield; however, as they are armed with guns, they can quickly kill the player as well. The principal aim of the game is to escape each level and killing enemies is not technically required in order to proceed.[3]  The maze design is randomized and is slightly different on each play, making it impossible to memorize the layout of a level.[4]  One of the game's main themes is jazz music and each of the game's four chapters are represented as jazz albums with each level representing one track.[5] The gameplay features a loud and chaotic, all-percussion jazz soundtrack composed by Matt Boch (associate arts professor at NYU Game Center)[6] which reacts dynamically to the gameplay, for example by increasing in intensity as the player faces more enemies, crashing cymbals each time an enemy is killed and adjusting the volume according to one's speed and number of kills.[7]  In order to provide a reactive and procedurally generated soundtrack for each playthrough, the game draws from a bank of thousands of recorded individual drum sounds, some recorded by Boch with others sourced externally, and combines them according to player movement. The system will also match the location of what is happening on screen to the drum or cymbal which matches that approximate location on a real drum kit. Each chapter of the game also features a different style of jazz percussion, with Boch describing the first chapter as the most quintessentially jazz, whereas other chapters feature more unusual instruments for jazz music.[6][7] The end of the last chapter features the song ""You've Got to Have Freedom"" by Pharoah Sanders.[5]  The game also features a minimalist art style which has been compared to that of Saul Bass.[8][5][9]  "
64,Apex Legends,/wiki/Apex_Legends," Apex Legends is an online multiplayer battle royale game featuring squads of three players using pre-made characters with distinctive abilities, called ""Legends"", similar to those of hero shooters.[1] Alternate modes have been introduced allowing for single and for two-player squads since the game's release.[2][3] The game is free-to-play and monetized through microtransactions and loot boxes, which allow the player to spend both real money and in-game currency on cosmetic items, such as outfits for the Legends and new colors for weapons.[4][5]  Each match generally features twenty teams of three-player squads. Players can join friends in a squad or can be matched randomly with other players. Before the match, each player on the squad selects one of the 21 playable characters (as of season 13), with the exception that no character may be selected more than once by a squad. Each character in the squad has a unique design, personality, and abilities that provide different playstyles to the team. All teams are then placed on an aircraft that passes over the game map. One player in each squad is the jumpmaster, selecting when the squad should skydive out of the aircraft and where to land with the concurrence of the other squad members. However, players are free to deviate from the squad's path.  Once on the ground, the squad can scavenge for weapons, armor, and other equipment that is scattered around buildings, or in crates randomly distributed around the map, while keeping an eye out for other squads. Apex Legends includes a nonverbal communication ""ping system"" which allows players to use their game controller to communicate to their squad certain directions, weapon locations, enemies, and suggested strategies.[6] While the game offers movement options similar to other shooters, it includes some of the gameplay features of previous Titanfall games, such as the ability to climb over short walls, slide down inclined surfaces, and use zip-lines to traverse an area quickly.[7]  Over time, the game's safe zone will reduce in size around a randomly-selected point on the map; players outside the safe zone take damage and may die if they do not reach the safe zone in time. This also confines squads to smaller spaces to force encounters. The last squad with any members left alive is crowned the ""Apex Champions"" of that match. Players who become knocked down in the course of a game can be revived by their squadmates. Should a player be killed completely, they can still be resurrected if their team member(s) collect their respawn banner, which appears at the place where they died, and bring it to one of several beacons on the island. The banner, however, must be collected within a time limit, before expiring and fully eliminating the player.[1]  Season 9 introduced a new permanent mode named ""Arena"". In this mode, players form into three-player squads and fight against another squad in a 3v3 team deathmatch over a series of rounds to determine the winner of the match. Teams win when their team has at least 3 points and is 2 points ahead. Additionally, if a game should drag on to round 9 (where both teams have 4 points) a final sudden death round begins. Respawn stated this scoring system ""prevents total blowout games from dragging on for too long"" and also ""lets more competitive games keep the heat going for longer"".[8] Rather than skydiving onto the map and gathering equipment like in the battle royale mode, players spawn in a ""shop"" where they can purchase equipment and charges of their Legend's abilities using materials earned in the previous rounds to prepare for the next fight. This variation of the game borrows mechanics from other shooters such as Counter Strike and Valorant.[9] The mode is the first permanent deviation away from the battle royale format.  "
68,Arena of Valor,/wiki/Arena_of_Valor," Arena of Valor is a multiplayer online battle arena (MOBA) game developed for mobile. The overall gameplay of Arena of Valor highly resembles League of Legends, a MOBA game on PC developed and published by Riot Games, which is also a subsidiary of Tencent and sister company to TiMi.[7]  Players control characters, referred to as heroes, and each of these heroes have a unique set of abilities.[8] Heroes start the game at a low level, and can earn gold and experience (XP) in various ways: Killing non-player creatures such as minions or monsters, defeating other players, destroying structures, passively through time and through special items that can be purchased through the shop. Earning experience unlocks and augments abilities, making the hero more powerful. Items purchased in the shop do not carry over matches, and therefore all players are on equal footing at the start of every match.  Matches give players rewards, such as gold, which can then be used to buy a variety of heroes or arcana.[9] In addition to this, players can play a 'Ranked' match type, which allows them to be matched with players who are at their skill level and be assessed through in-game 'ranks'.[10] Stars are earned for a victory, and lost when the player loses.  "
70,Armello,/wiki/Armello," Armello is a digital simulation of a traditional fantasy tabletop role-playing game utilizing virtual dice and cards which allow the player to carry out specific actions. Up to four players assume the role of a Hero character that represents a specific animal clan, each with their own unique strengths, with the ultimate goal to storm the castle and become the new king or queen of the kingdom. The playing board area is divided into hexagon-shaped tiles that contain randomly generated[5] features such as dungeons to explore, quests to complete, rival heroes to battle, or settlements to capture.[3] As the game progresses, players can acquire currency to purchase additional abilities for their hero using a talent tree system specific to each character.  The game uses a turn-based system where players are allowed to perform actions such as equip items and purchase talents during another player's turn to reduce downtime.[3] Cards and dice are used to directly interact with the game world, and form the basis for the game's combat system. Players use cards they draw from a deck to cast spells, recruit followers, heal wounds, or use items that grant special abilities. Cards may also be played as ""Perils"" which can be laid on specific tiles to act as traps for other heroes or used immediately in combat, and other cards may be used to forge temporary alliances. Armello also features a day/night cycle where certain heroes gain advantages based on the time of day, and certain groups of enemies only appear in either the darkness or light.[3]  There are four alternative paths to victory and every hero is best suited for reaching a particular one, but every victory condition can be reached with every hero.  and characters  The game takes place in the ""dark fairy tale"" Kingdom of Armello, a world filled with anthropomorphic animals separated into numerous clans.[6] When the current king becomes corrupted by a dark force called the Rot, representatives from these factions rise up to embark on a journey to become the new king or queen in his stead.[3] Although players can, in theory, immediately attack the King, they generally have better chances if they first undertake some quests, which involve travelling around the board and are each associated with a short narrative.  The base game includes 8 playable heroes, divided into 4 clans; Thane and River (wolf), Amber and Barnaby (rabbit), Mercurio and Zosha (rat), and Sana and Brun (bear). Additional heroes, including two more clans, were added in paid DLC expansions. A fully expanded game has 24 playable characters.  "
71,Arms,/wiki/Arms_(video_game)," Arms is a 3D fighting sports game in which up to four players can control one of a variety of fighters, with the player able to perform basic fighting actions using extendable arms such as punching, throwing, blocking and dodging.[1][2] Arms features fifteen playable fighters, including Min Min and Twintelle, with five of them being released as downloadable content.[3] Each fighter starts with three unique Arms that can be selected in battle, but the use of all other fighters' Arms can be unlocked in the Get Arms mode. All fighters also have unique attributes in combat.[4] When the attack meter is fully charged, players are able to unleash a high-damage ""rush attack"" against their opponents. Players can also charge their attacks to temporarily increase damage and utilize elemental effects.[5] Each character has a different set of abilities and unique Arms for different strategies. Players are able to use the system's Joy-Con motion controls or standard button inputs with controllers such as the Pro Controller to operate each Arm individually. Players are also able to customize their Arm load outs, with each Arm being able to be selected independently. Every Arm is different with elemental attributes and varying weights that affect gameplay. Up to four players are able to play in a single match, either in a three or four-way free-for-all, or in a two-on-two mode in which teammates are tethered together.[6][7]  Besides the standard fighting mode, Arms features multiple other modes: Versus, Grand Prix, and a variety of Battle modes. In Grand Prix, players take on a set of 10 matches against computer-controlled fighters to win the championship belt. Battle mode consists of volleyball and basketball modes, a target breaking mode, and a survival mode.[6] Players can also play online in a party match lobby with up to 20 players, or in one-on-one ranked matches.[8] Arms featured ten playable fighters at launch, with five additional fighters added via post-release updates.[9][10]  "
72,Ar Nosurge DX,/wiki/Ar_Nosurge_DX," The game plays as a JRPG with visual novel segments.[1] On the role-playing side, the game does not have a traditional party setup,[2] but rather, the game alternates between two sets of characters; Delta and Cass on one side, and Ion and Earthes on the other.[1] In the regular game field, the game plays as most JRPGs do; the player maneuver's the character through the game environment, exploring small areas to find non-player characters to interact with or items to collect to aid them through progressing the game.[3] In certain areas, a bar is present in the corner of the screen.[4] The bar indicates that random battles may occur in that area, and indicate how increasingly likely they are to occur as movement transpires on the map.[4][5] Optional small talk between characters arises as the game world is explored as well.[6]  The game employs a turn based battle system with timed button press elements that amplify effectiveness. Only two characters participate in a battle at the time - Delta or Earthes as the attacker/defender, and Cass or Ion who stands back to charge their ""Song Magic"" special move.[4]  Multiple waves of enemies approach the player, which the player takes on each wave one at a time as each is defeated, with each wave placing characters on a 3x3 grid.[2][7] The player has a selection of different types of regular attacks, with varying strengths, weaknesses, and area of effects, as well as the option of using consumable items or special ""Friend Skills"" earned through game progression that award various effects.[2][8] The better the player strings together attacks, the faster the Song Magic's meter grows, which increases its attack power.[2] Attacks phases can be extended if enemies are hit with a ""break"" status incurred by good fighting, though attack number are finite, and once they are used up, the attack phase ends.[7][2] The battle transitions to the enemy phase, where the player must defends through time button presses to reduce damage aimed at Cass or Ion.[3] Battles continue until one of four scenarios occur - the player defeats all enemies, the enemies deplete all health points of the Cass or Ion, both sides run out of turns, or if the player choses to use the Song Magic attack.[8] The more the Song Magic is charged, the more powerful it is, and the more it works towards eliminating random battles from the area.[3] If the Song Magic meter is maxed out, the battle is automatically won, and random battles are eliminated from the area for the duration of the time spent there.[2][7][3]  The rest of the game's gameplay modes more closely resemble a visual novel, largely revolving around reading text and choosing from dialogue trees or other text-based options.[4][8] The ""Genometrics"" segments are story segments where the player dives into a character's subconscious dream world to help them through various mental hang-ups they're suffering through in the game.[8][4][9] The segments are split into 10-20 points on a map to be selected; each one revealing more of the narrative. Selecting each one costs Dive Points (DP), which are earned through participating in the game's battle system.[4] Certain dialogue options cost DP as well, and may hinder or help progression. If the player cannot pay the given cost of DP required, progress is halted, and the player returns to the main game. The segment is completed once enough DP is spent to read all text to the story's conclusion, and completion rewards the player with new ""Song Magic"" to be used in the game's battle system.[4][5][10] The game's ""Purification"" segments involve two characters meditating and reflecting together on various events that had transpired in the main game.[4] The player is also given the option to equip ""Genometrica Crystals"" that are obtained through progression of the Genometrics segments, which give stat boosts for the game's battle system.[4] The game also contains an item synthesis system similar to the Atelier video game series.[9] Upon traveling to item shops, and talking to their respective shop keeper synthesis recipes are obtained.[10] If the player has obtained the required items through game progression, they may combine them into new items.[10] Each item creation contains a story scene about the respective item, and can be used in further synthesizing, or for added effects in battle.[11][6]  "
73,Art of Balance,/wiki/Art_of_Balance," Art of Balance is a puzzle game in which the player has to stack several blocks on top of one another on a platform floating in water without the blocks falling into the water. The blocks can be rotated at 45 ° angles. The blocks can be square or round and also take on other shapes. Some blocks will break if too many more blocks are placed on it. The game features several different game modes.[6]  In arcade mode, the player has a supply of blocks. The point is to stack the blocks on top of each other until there are none left. Then the tower must stand still for three more seconds without falling over. In this game mode there are eight worlds with a total of 200 puzzles. There are also super puzzles in which the player has a time limit or the platform sways on the water.[7] The puzzles can also be played cooperatively with a second player.[6]  "
74,Art of Rally,/wiki/Art_of_Rally," Art of Rally is a racing game played in a top-down perspective. The game is set in the ""golden era of rally"", featuring rally cars from groups such as Group 2, Group B, Group A, and Group S. The game takes place in an alternate timeline where Group B was never discontinued.[1] Art of Rally has a career mode and a free roam mode. Career mode starts with Group 2, and tasks the player with completing rallies. Players unlock new vehicle classes and cars as they progress through career mode.[2] The player's cars can be damaged, which affects their performance.[3] Free roam allows players to use any previously unlocked cars, and also contain collectibles for players to collect.[4] The game has online events, taking the form of daily and weekly challenges that players can participate in.[5]  "
75,The Artful Escape,/wiki/The_Artful_Escape," The fictional town of Calypso, Colorado is the birthplace of the deceased folk-music legend, Johnson Vendetti. On the 20th anniversary of his groundbreaking album during the 1970s, the town is holding a large festival, and Johnson's nephew, Francis Vendetti (Michael Johnston), is expected to play Johnson's folk songs at a concert. However, Francis struggles with living in the shadow of his uncle and follow folk music when he really wants to play rock music.[3][4] The day before the concert, he meets an odd woman, Violetta (Caroline Kinley), who dares him to take risks, such as climbing a tree he had been scared of climbing before. She tells Francis to look for Lightman's before she heads off, despite Francis not knowing of any such place in Calypso.  That night, Francis is visited by an alien Zomm (Jason Schwartzman) who tells him he must meet Lightman. Recalling Violetta's words, he follows Zomm to find Lightman (Carl Weathers), a guitarist that says he needs Francis to play as his opening act. Francis follows Lightman and Zomm through an impossible space below Calypso and finds himself in the Cosmic Extraordinary as they head towards the Cosmic Lung, Lightman's ship. Once there, Lightman explains that to travel through the Cosmic Extraordinary, they need to put on a show for the Glamourgonn (Courtenay Taylor) to gain clearance for the next station, which will be the only way Francis will be able to get back to Calypso in time for the concert. Francis discovers Violetta works as the head of Lightman's laser show but has reservations for Lightman's plans for Francis.  For Francis to be able to perform as Lightman's opening act, he first must travel to meet Stargordon (Mark Strong), a talent agent. There, Stargordon helps Francis conceive of a new name and identity to help sell himself, though senses that the weight of Johnson's influence still haunts Francis' life. With this identity, Francis performs for the Heliotromm, who is impressed with his performance and offers to broadcast it across the galaxy, but Francis declines, still fearing drawing attention to himself. Lightman then sends Francis to the planet of Glimmerdimm to play at a highly exclusive nightclub, but after his performance, Francis finds the only way back is to locate the warp turtle, held in fashion-strict Glimmer City. An alien, Frida, helps Francis to create a new outfit purposely to cause a ruckus in Glimmer City and reach the turtle.  Back at the Cosmic Organ, Francis learns that Lightman is no longer captain of the ship but instead Francis has been promoted due to his performances. Feeling guilty, Francis offers Lightman to be his opening act but allows Lightman to select the stage. Lightman heads to the Hyperion Wailzone, where the Glamourgonn lives. Violetta tells Francis that Lightman was the only person to have performed and survived the Glamourgonn twenty years ago and may be trying to recapture his glory. Francis follows and eventually meets with the Glamourgonn's agent, the Tastemaker (Lena Headey), to arrange to see the Glamourgonn. She sees that Francis still has doubts about accepting this new identity and reveals that when Lightman had faced him, he had brought Johnson Vendetti along, who himself had disliked the folk music he wrote about. Because Francis is still in doubt, she denies both from seeing the Glamourgonn. Francis comes to an epiphany and comes to fully accept his new persona, and demonstrates this to the Tastemaker. She sees Francis has changed, and allows him to perform for the Glamourgonn. Francis's performance, aided by Violetta's laser show, impresses the Glamourgonn, and she grants passage for the Cosmic Lung as well as providing them with a separate vehicle.  Violetta returns Francis back to Calypso, well after the concert was to go on, and promises that she will come back to see him some day. Francis goes to perform at the planned after-party event, showcasing his rock styling and new persona and stunning the crowd.[3][4]   The Artful Escape is a platform game, where the player controls Francis in moving him across a musical-infused landscape. Besides running and jumping, Francis has a guitar which he can play to create various effects, such as interacting with the scenery or facing boss characters.[5]  "
76,Ary and the Secret of Seasons,/wiki/Ary_and_the_Secret_of_Seasons," Ary and the Secret of Seasons is a 3D action adventure platformer. The game is structured similar to The Legend of Zelda, with progress limited to certain areas of the game world until the player has collected a new weapon or ability for Ary to use.  "
77,Ashen,/wiki/Ashen_(2018_video_game)," The game is set in a sunless world and tells the story of a character seeking a home. is described as including open-world exploration, co-operation or competition with other players, and combat with in-world monsters.[2] The game is presented in a third-person view, with a muted cel-shaded graphics presentation.[3]  The game follows the Dark Souls-style mechanics and combat. Both combat and exploration in an open world were key design elements of the game. Multiplayer elements include interactions with other players, which are incorporated into the game as providing traditional RPG elements such as crafting.[4] Combat includes ranged and melee weapons.[5]  Character growth is primarily dominated by equipment, rather than player 'stats';[6] ""Talismans"", either found or crafted, are used to upgrade character abilities or provide other in-game perks.[7]  "
79,Assassin's Creed III Remastered,/wiki/Assassin%27s_Creed_III_Remastered," Assassin's Creed III is an action-adventure, stealth game set in an open world environment and played from a third-person perspective. The main narrative of the game follows Ratonhnaké:ton, also known as Connor, an 18th-century Assassin from Colonial America, and his involvement in various events during the American Revolution and the Revolutionary War. In the game's prologue, consisting of the first three main sequences, players control Connor's father Haytham Kenway, a British Templar, while in the modern-day sequences, the player character is series protagonist Desmond Miles, who searches for a way to protect the Earth from an upcoming solar flare on December 21, 2012. The game world consists of three main areas: Boston, New York City, and a large wilderness known as the Frontier (which is roughly 1.5 times bigger than Rome in Assassin's Creed: Brotherhood). Portions of the Eastern Seaboard and Caribbean Sea can also be explored during the naval side missions.  Free running has been simplified to allow for more fluid parkour in the cities and wilderness, such as climbing and running on trees, mountains, cliffs, etc. Close combat has also been modified, allowing Connor to dual-wield weapons and take down multiple opponents at once and players no longer need to manage the lock-on mechanic. Aiding this, Connor has access to a wide range of weapons which include muskets, swords, pistols, native weapons such as the tomahawk and bow and arrow, the Rope Dart (used to pull foes or hang them from above) and the Assassins' signature Hidden Blades. Human shields can be used against firing lines of enemies. Medicine is no longer used as health recovers automatically. Stealth is also revamped, allowing players to use natural elements such as tall grass and trees to hide, along with the ability to blend between any two people.  Assassin's Creed III features new weather simulations such as snow, fog, and rain. The seasons can also change i.e., Summer and Winter, which not only affect visuals but also gameplay, as the player will find that they run slower in deep snow. Snowfall can reduce visibility for the player and enemies, aiding stealth. The game also features a wide variety of animals, both domestic (such as horses, cows, and dogs) and wild (deer, wolves, bears etc.). Wild animals are found in the Frontier and can be hunted for meat or marrow in order to be sold. The quality of the kill determines the price, encouraging the player to hunt silently. For this, traps and bait can also be used.  The economy is now based on the Davenport Homestead, which also acts as Connor's adoptive home. The site can be visited by people such as carpenters, tailors, etc. suffering from displacement due to the war. Helping and interacting with these non-player characters (NPCs) will encourage them to settle in the Homestead. From there on, the player can craft various items and trade with them, and then sell the goods to the cities via caravan. The player can also help them build relationships with each other, which will then result in the formation of a small community.  A revamped version of the recruitment system introduced in Assassin's Creed: Brotherhood returns as players can enlist citizens to the Assassins' cause by completing optional ""Liberation"" missions. Unlike previous games, the player is limited to only six Assassin recruits, but these recruits are each given distinct personalities and backstories, and have a much larger skill set, allowing them to start riots, provide a cover escort, and set up an ambush, among others. Other side missions include collecting Benjamin Franklin's lost Almanac pages, exploring underground tunnels to unlock fast-travel stations, joining hunting and fighting clubs, investigating various frontiersman rumors like the UFOs and Sasquatches, and ""peg-legs"" missions in which Connor goes to underground forts and wastelands to uncover the legend of Captain Kidd's treasure. In addition, minigames such as Bowls, Checkers, Fanorona, and Nine men's morris are playable for the first time in the series.[9]  Assassin's Creed III introduced naval gameplay to the series. During the main story, Connor captains a brig, the Aquila, and is given the opportunity to upgrade it with improved weapons and hull armor. Control of the ship relies on environmental factors such as wind direction and speed, local presence of storms, high waves, and rocks. Engagements are by cannon, with broadsides covering both flanks of the ship, swivel guns that can be used to damage smaller ships which can also be boarded to find treasure, and chain shots from the broadsides as well to take down the masts of larger ships and disable them. The Aquila is usable only during a few main story missions and a series of dedicated side missions.  The Wii U version of the game has a few extra features, such as the ability to change weapons on the go and the map being always visible on the Wii U Gamepad. This version also supports Off TV Play, which redirects the main screen to the Wii U Gamepad.  Online multiplayer returns in this installment, developed by Ubisoft Annecy.[10] Along with returning modes, new ones feature a co-operative mode named Wolfpack, in which 1–4 players are charged with killing certain NPCs within a time limit, through a sequence of 25 stages. It also features Domination, a team mode where players will have to capture certain areas of the map, protecting them from the opposing team. Ubisoft announced that the multiplayer servers for Assassin's Creed III, alongside several other of their older titles, would be shut down on September 1, 2022. The date was later delayed to October 1, 2022.[11][12]  This renders all multiplayer-related achievements and trophies on the original console versions as unobtainable.  The Remastered version of the game features more revamped mechanics.[13] Players can now whistle from anywhere while hidden, whereas the original version only allowed whistling from corners. Double assassinations have been improved so as not to require entering high-profile mode to do so.[14] Free-aiming with ranged weapons was also made possible, allowing Connor more control over his bow and pistols. The mini-map and the UI were upgraded with better-looking and easier-to-recognize icons for ease of accessibility, figuring out where enemies will point next and also features color-blind modes.[15] The crafting system and the economy system was also vastly upgraded. The game's lighting system has been upgraded to resemble the new technology implemented in Assassin's Creed Origins and the textures have also been revamped to resemble those seen in the Assassin's Creed games utilizing the more advanced AnvilNext 2.0 engine.  "
80,Assassin's Creed Odyssey,/wiki/Assassin%27s_Creed_Odyssey," Assassin's Creed Odyssey is an action role-playing video game played from a third-person perspective. At the beginning of the game, the player can select to play as either Alexios or Kassandra,[1] Greek mercenaries and descendants of the Spartan king Leonidas I. In addition to completing the story campaign, players can freely explore a large open world set in Greece on foot or on horseback.[2] As the player explores the world, they will encounter various non-playable characters (NPCs) who give players side missions to complete.[3] They also discover locations of interests, clear out fortresses and camps, explore tombs and shipwrecks, and collect hidden treasures.[4][5] Synchronization points in various landmarks in Greece, which serve as fast travel points, can also be unlocked.[6] Players can also collect various crafting resources, such as iron ore, wood, leather, metal, and precious gems, through exploration and hunting wildlife.[7] Other side activities players can undertake include competing in a gladiatorial arena and completing time-limited bounties and contracts.[8][9] Unlike the previous games in the series, Odyssey offers two modes of gameplay: Guided mode shows the player the locations of their objects immediately using waypoints, while Exploration mode tasks players to find out the locations themselves after being given brief clues from other NPCs.[10][11]  While the main campaign missions follow the mercenary as they reunite their family and stop the Cult of Kosmos, additional questlines task the players to defeat mystical creatures from Atlantis and take down cultists.[12][13] As the game is set during the Peloponnesian War, Athens and Sparta control various parts of Greece. An area can be weakened if the player assassinates the nation leader, defeats members of their army, burns down war supplies, or pillages their nation chests.[14] When a region is weakened, players can join a conquest battle to aid either the attacking or the defending side. Winning a battle will earn the player valuable loots and gears.[15] Joining the attacking team is a more challenging experience but it will offer more gameplay benefits.[16] A bounty is placed on the player character if they commit a crime such as stealing or hurting an innocent bystander in public. NPCs called Mercenaries will then arrive to hunt the player character, who can either kill the mercenary, pay the bounty, or assassinate the character who place the bounty on them.[17] Each area has a recommended level. The player may be easily overpowered if they venture into an area too early. However, the game's difficulty is scaled in accordance to the player's level.[18][19] When interacting with other NPCs, players can select various dialogue options, including the option to develop a romantic relationship with some of them.[20] At key moments of the game's campaign, players make crucial decisions which can affect the course of the story and lead to several different endings.[21]  "
